x,y,z
1076.5051689529607,-145.76603597477066,844.4134778959456
1076.3030711035299,-149.98976323778254,844.4134778959456
1076.1559858062892,-153.06376022336858,844.4134778959456
1075.970904349017,-156.93185480804388,844.4134778959456
1075.9170036154471,-158.05834872431916,844.4134778959456
1077.353502671433,-158.12708265334587,844.4134778959456
1088.790778668779,-158.67433600056182,844.4134778959456
1113.4109897280998,-159.85236938145627,844.4134778959456
1137.887109178482,-161.02350823472756,844.4134778959456
1157.6004409972463,-161.96675615714375,844.4134778959456
1166.5395405110796,-162.3944761956544,844.4134778959456
1172.1866350363784,-162.6646796411017,844.4134778959456
1181.3090906368407,-163.10117294277075,844.4134778959456
1195.6434504536933,-163.78704660637655,844.4134778959456
1203.0285817550343,-164.1404120253125,844.4134778959456
1216.5891166095878,-164.78925953855907,844.4134778959456
1245.3667512086593,-166.16621825346232,844.4134778959456
1276.2635657892918,-167.64457596743944,844.4134778959456
1301.0856921087563,-168.8322706349893,844.4134778959456
1318.0252594227243,-169.64279885124546,844.4134778959456
1335.670179892844,-170.4870769635226,844.4134778959456
1349.3271498352556,-171.14053872448272,844.4134778959456
1355.3951694033851,-171.4308826857897,844.4134778959456
1367.9382311234453,-172.0310459162855,844.4134778959456
1380.111448587174,-172.61351275585105,844.4134778959456
1400.2686888499843,-173.5780009090633,844.4134778959456
1423.6352804844616,-174.69605082654044,844.4134778959456
1450.020174356241,-175.95852114645047,844.4134778959456
1467.9989100299101,-176.8187717234593,844.4134778959456
1488.8304426684474,-177.81552356950402,844.4134778959456
1504.1853597431702,-178.55022908568765,844.4134778959456
1516.8690443940764,-179.1571208737193,844.4134778959456
1530.6396550412371,-179.81602014060897,844.4134778959456
1539.2876956298117,-180.2298135263815,844.4134778959456
1545.6770643231089,-180.53553347270565,844.4134778959456
1562.0384683561738,-181.31839760261957,844.4134778959456
1568.303042238016,-181.61814633881477,844.4134778959456
1568.3677167981539,-180.26648572665832,844.4134778959456
1568.9210576309986,-168.70198482767736,844.4134778959456
1570.6834691122065,-131.86861206895435,844.4134778959456
1572.8143478793247,-87.33448779104576,844.4134778959456
1573.5465203843542,-72.0325091731132,844.4134778959456
1573.730545620379,-68.1864889968995,844.4134778959456
1574.3390225302269,-55.469676223898254,844.4134778959456
1574.8870717461195,-44.01576703507154,844.4134778959456
1575.680293671756,-27.437891108312407,844.4134778959456
1576.7208978843535,-5.689869567603284,844.4134778959456
1578.0692127136174,22.489124516323677,844.4134778959456
1579.9717093921486,62.25019625227804,844.4134778959456
1582.0686025798086,106.07404172756054,844.4134778959456
1583.4909060309426,135.79935488526476,844.4134778959456
1585.5969698333363,179.8148608635127,844.4134778959456
1587.274146986786,214.8668858498032,844.4134778959456
1587.7094581004596,223.96463441018713,844.4134778959456
1588.7679767506424,246.08705725523697,844.4134778959456
1589.8908385170944,269.55421372876475,844.4134778959456
1590.3905787441875,279.9984932079428,844.4134778959456
1590.8270541308593,289.12057439540405,844.4134778959456
1590.8896048993493,290.4278489999471,844.4134778959456
1591.3264509085236,299.55767598169933,844.4134778959456
1591.7636216761273,308.6942902253413,844.4134778959456
1592.0131018247696,313.90827992571946,844.4134778959456
1592.2626765900766,319.12424705923803,844.4134778959456
1592.7632943351175,329.5868661520812,844.4134778959456
1593.077097754345,336.1451747177091,844.4134778959456
1593.3282741672926,341.3946153534253,844.4134778959456
1593.57954571836,346.64604432038595,844.4134778959456
1593.9555209076077,354.5037066434389,844.4134778959456
1594.4564397438007,364.9726183658707,844.4134778959456
1594.5193648656502,366.28771673743654,844.4134778959456
1594.582296671676,367.6029548043951,844.4134778959456
1594.5182267861774,366.26393153976767,844.4134778959456
1597.1880387017493,366.1361857804127,844.4134778959456
1594.9675584181703,366.24243181905837,844.4134778959456
1589.2617164991284,366.515446222978,844.4134778959456
1556.8542192865839,368.0660874183617,844.4134778959456
1484.480141329327,371.5290585334215,844.4134778959456
1397.1944673058697,375.70552304161566,844.4134778959456
1335.6232099977185,378.6515983712657,844.4134778959456
1296.3866961582246,380.5289958859126,844.4134778959456
1254.997354183942,382.509402404016,844.4134778959456
1226.7593115872087,383.8605425997649,844.4134778959456
1190.1439737221367,385.61252149847763,844.4134778959456
1170.511449223508,386.55190293411545,844.4134778959456
1149.6722800158097,387.5490201764343,844.4134778959456
1146.156676641608,387.71723555520646,844.4134778959456
1136.9348772736573,388.15848227974436,844.4134778959456
